Anzahl Elemente,ProjectAlpha::List,std::forward_list
9950,115,44
9900,114,45
9850,115,43
9800,115,43
9750,114,45
9700,117,44
9650,115,44
9600,119,44
9550,119,46
9500,118,43
9450,117,46
9400,116,44
9350,114,43
9300,117,41
9250,116,44
9200,118,45
9150,116,44
9100,119,43
9050,116,54
9000,115,44
8950,117,44
8900,117,44
8850,117,44
8800,115,46
8750,117,44
8700,119,45
8650,118,44
8600,117,42
8550,117,44
8500,114,45
8450,116,44
8400,115,45
8350,117,44
8300,115,45
8250,117,44
8200,116,46
8150,117,45
8100,118,42
8050,116,45
8000,116,45
7950,119,46
7900,114,44
7850,116,45
7800,115,46
7750,117,45
7700,121,44
7650,115,44
7600,117,43
7550,118,46
7500,117,44
7450,118,44
7400,116,43
7350,115,43
7300,117,45
7250,116,44
7200,116,44
7150,116,45
7100,126,45
7050,119,42
7000,116,42
6950,116,43
6900,118,44
6850,118,45
6800,115,45
6750,116,45
6700,116,44
6650,118,42
6600,116,44
6550,167,43
6500,116,44
6450,117,43
6400,117,44
6350,118,68
6300,117,44
6250,119,44
6200,116,44
6150,118,45
6100,116,46
6050,118,42
6000,115,45
5950,118,43
5900,117,46
5850,115,44
5800,114,45
5750,117,45
5700,118,44
5650,116,45
5600,118,44
5550,115,45
5500,117,45
5450,117,44
5400,117,44
5350,117,43
5300,117,45
5250,120,46
5200,117,45
5150,115,44
5100,113,45
5050,117,43
5000,116,43
4950,115,45
4900,116,45
4850,116,44
4800,126,44
4750,115,46
4700,119,44
4650,115,42
4600,116,45
4550,116,43
4500,119,47
4450,117,44
4400,118,45
4350,117,43
4300,117,44
4250,119,45
4200,115,42
4150,126,46
4100,132,45
4050,116,44
4000,118,45
3950,120,44
3900,117,44
3850,118,43
3800,117,44
3750,115,44
3700,119,44
3650,117,44
3600,119,45
3550,117,45
3500,119,44
3450,116,43
3400,117,44
3350,119,45
3300,116,45
3250,115,43
3200,119,47
3150,114,46
3100,120,43
3050,114,44
3000,117,44
2950,117,46
2900,116,45
2850,117,43
2800,117,46
2750,118,44
2700,117,46
2650,117,45
2600,116,45
2550,119,44
2500,118,45
2450,120,44
2400,118,44
2350,115,45
2300,116,45
2250,114,44
2200,116,44
2150,115,45
2100,120,45
2050,118,44
2000,116,45
1950,116,44
1900,117,43
1850,119,44
1800,114,45
1750,119,45
1700,117,65
1650,114,59
1600,115,44
1550,117,43
1500,114,42
1450,117,43
1400,116,43
1350,115,43
1300,114,41
1250,116,43
1200,117,44
1150,115,43
1100,119,43
1050,116,43
1000,116,45
950,116,42
900,117,42
850,117,45
800,119,43
750,115,44
700,116,42
650,114,43
600,116,44
550,118,44
500,113,42
450,114,43
400,116,42
350,116,44
300,117,43
250,127,43
200,116,43
150,115,44
100,116,42
50,117,43
